district_id,city_id,district_name,district_lat_dd,district_long_dd,district_elevation,created,updated
357801,3578,Karang Pilang,-7.34111111,112.68611111,15.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357802,3578,Wonocolo,-7.32250000,112.73888889,8.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357803,3578,Rungkut,-7.32000000,112.79694400,5.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357804,3578,Wonokromo,-7.29888900,112.73777800,8.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357805,3578,Tegalsari,-7.27555600,112.73305600,6.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357806,3578,Sawahan,-7.27277800,112.71916700,14.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357807,3578,Genteng,-7.25916700,112.74500000,7.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357808,3578,Gubeng,-7.27972200,112.75611100,8.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357809,3578,Sukolilo,-7.29250000,112.80333300,5.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357810,3578,Tambaksari,-7.25055600,112.76805600,5.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357811,3578,Simokerto,-7.23944400,112.75333300,6.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357812,3578,Pabean Cantian,-7.21472200,112.73194400,5.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357813,3578,Bubutan,-7.24888900,112.72777800,5.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357814,3578,Tandes,-7.25555600,112.67138900,9.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357815,3578,Krembangan,-7.22916700,112.72166700,3.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357816,3578,Semampir,-7.21388900,112.74833300,2.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357817,3578,Kenjeran,-7.21750000,112.76888900,5.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357818,3578,Lakarsantri,-7.30916700,112.66055600,9.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357819,3578,Benowo,-7.22361111,112.64722222,1.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357820,3578,Wiyung,-7.31250000,112.68833300,9.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357821,3578,Dukuh Pakis,-7.29638900,112.69888900,21.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357822,3578,Gayungan,-7.32916667,112.72638889,7.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357823,3578,Jambangan,-7.32305600,112.71583300,11.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357824,3578,Tenggilis Mejoyo,-7.32444400,112.75250000,5.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357825,3578,Gunung Anyar,-7.33833300,112.79500000,2.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357826,3578,Mulyorejo,-7.26416700,112.79916700,5.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357827,3578,Sukomanunggal,-7.26861100,112.69805600,8.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357828,3578,Asem Rowo,-7.23750000,112.68750000,4.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357829,3578,Bulak,-7.23944400,112.79027800,2.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357830,3578,Pakal,-7.22972200,112.61611100,3.0,2024-11-30 15:04:52,2024-12-02 16:02:20
357831,3578,Sambikerep,-7.27666700,112.65305600,28.0,2024-11-30 15:04:52,2024-12-02 16:02:20
