weather_code,weather_code_desc,created,updated
0,Cloud development not observed or not observable,2024-11-30 23:38:01,2024-11-30 23:38:01
1,Cloud generally dissolving or becoming less developed,2024-11-30 23:38:01,2024-11-30 23:38:01
2,State of sky on the whole unchanged,2024-11-30 23:38:01,2024-11-30 23:38:01
3,Clouds generally forming or developing,2024-11-30 23:38:01,2024-11-30 23:38:01
4,"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes",2024-11-30 23:38:01,2024-11-30 23:38:01
5,Haze,2024-11-30 23:38:01,2024-11-30 23:38:01
6,"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation",2024-11-30 23:38:01,2024-11-30 23:38:01
7,"Dust or sand raised by wind at or near the station at the time of observation, but not well-developed dust whirl(s) or sand whirl(s), and no duststorm or sandstorm seen; or, in the case of ships, blowing spray at the station",2024-11-30 23:38:01,2024-11-30 23:38:01
8,"Well-developed dust or sand whirl(s) seen at or near the station during the preceding hour or at the time of observation, but no dust storm or sandstorm",2024-11-30 23:38:01,2024-11-30 23:38:01
9,"Duststorm or sandstorm within sight at the time of observation, or at the station during the preceding hour",2024-11-30 23:38:01,2024-11-30 23:38:01
10,Mist,2024-11-30 23:38:01,2024-11-30 23:38:01
11,"Patches of shallow fog or ice fog at the station, whether on land or sea not deeper than about 2 metres on land or 10 metres at sea",2024-11-30 23:38:01,2024-11-30 23:38:01
12,"More or less continuous shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2m/land or 10m/sea",2024-11-30 23:38:01,2024-11-30 23:38:01
13,"Lightning visible, no thunder heard",2024-11-30 23:38:01,2024-11-30 23:38:01
14,"Precipitation within sight, not reaching the ground or the surface of the sea",2024-11-30 23:38:01,2024-11-30 23:38:01
15,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. &gt; 5 km from the station",2024-11-30 23:38:01,2024-11-30 23:38:01
16,"Precipitation within sight, reaching the ground or the surface of the sea, near to, but not at the station",2024-11-30 23:38:01,2024-11-30 23:38:01
17,"Thunderstorm, but no precipitation at the time of observation",2024-11-30 23:38:01,2024-11-30 23:38:01
18,Squalls at or within sight of the station during the preceding hour or at the time of observation,2024-11-30 23:38:01,2024-11-30 23:38:01
19,Funnel clouds at or within sight of the station during the preceding hour or at the time of observation,2024-11-30 23:38:01,2024-11-30 23:38:01
20,"Drizzle (not freezing) or snow grains, not falling as showers, during the preceding hour but not at the time of observation",2024-11-30 23:38:01,2024-11-30 23:38:01
21,"Rain (not freezing), not falling as showers, during the preceding hour but not at the time of observation",2024-11-30 23:38:01,2024-11-30 23:38:01
22,"Snow, not falling as showers, during the preceding hour but not at the time of observation",2024-11-30 23:38:01,2024-11-30 23:38:01
23,"Rain and snow or ice pellets, not falling as showers; during the preceding hour but not at the time of observation",2024-11-30 23:38:01,2024-11-30 23:38:01
24,Freezing drizzle or freezing rain; during the preceding hour but not at the time of observation,2024-11-30 23:38:01,2024-11-30 23:38:01
25,Shower(s) of rain during the preceding hour but not at the time of observation,2024-11-30 23:38:01,2024-11-30 23:38:01
26,"Shower(s) of snow, or of rain and snow during the preceding hour but not at the time of observation",2024-11-30 23:38:01,2024-11-30 23:38:01
27,"Shower(s) of hail, or of rain and hail during the preceding hour but not at the time of observation",2024-11-30 23:38:01,2024-11-30 23:38:01
28,Fog or ice fog during the preceding hour but not at the time of observation,2024-11-30 23:38:01,2024-11-30 23:38:01
29,Thunderstorm (with or without precipitation) during the preceding hour but not at the time of observation,2024-11-30 23:38:01,2024-11-30 23:38:01
30,Slight or moderate duststorm or sandstorm - has decreased during the preceding hour,2024-11-30 23:38:01,2024-11-30 23:38:01
31,Slight or moderate duststorm or sandstorm - no appreciable change during the preceding hour,2024-11-30 23:38:01,2024-11-30 23:38:01
32,Slight or moderate duststorm or sandstorm - has begun or has increased during the preceding hour,2024-11-30 23:38:01,2024-11-30 23:38:01
33,Severe duststorm or sandstorm - has decreased during the preceding hour,2024-11-30 23:38:01,2024-11-30 23:38:01
34,Severe duststorm or sandstorm - no appreciable change during the preceding hour,2024-11-30 23:38:01,2024-11-30 23:38:01
35,Severe duststorm or sandstorm - has begun or has increased during the preceding hour,2024-11-30 23:38:01,2024-11-30 23:38:01
36,Slight/moderate drifting snow - generally low (below eye level),2024-11-30 23:38:01,2024-11-30 23:38:01
37,Heavy drifting snow - generally low (below eye level),2024-11-30 23:38:01,2024-11-30 23:38:01
38,Slight/moderate blowing snow - generally high (above eye level),2024-11-30 23:38:01,2024-11-30 23:38:01
39,Heavy blowing snow - generally high (above eye level),2024-11-30 23:38:01,2024-11-30 23:38:01
40,"Fog or ice fog at a a distance at the time of observation, but not at station during the preceding hour, the fog or ice fog extending to a level above that of  the observer",2024-11-30 23:38:01,2024-11-30 23:38:01
41,Fog or ice fog in patches,2024-11-30 23:38:01,2024-11-30 23:38:01
42,"Fog/ice fog, sky visible, has become thinner during the preceding hour",2024-11-30 23:38:01,2024-11-30 23:38:01
43,"Fog/ice fog, sky invisible, has become thinner during the preceding hour",2024-11-30 23:38:01,2024-11-30 23:38:01
44,"Fog or ice fog, sky visible, no appreciable change during the past hour",2024-11-30 23:38:01,2024-11-30 23:38:01
45,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour",2024-11-30 23:38:01,2024-11-30 23:38:01
